Feature Method,Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,Training Time (s)
Bag of Words (Unigrams),Naive Bayes,1.0,1.0,1.0,1.0,1.0,0.0030069351196289062
Bag of Words (Unigrams),Logistic Regression,0.989247311827957,0.9894540942928041,0.989247311827957,0.989234734113403,0.9997665732959851,0.07199883460998535
Bag of Words (Unigrams),SVM (Linear),0.978494623655914,0.9786736670096229,0.978494623655914,0.9784694682268065,0.9994164332399627,0.29547858238220215
Bag of Words (Unigrams),Random Forest,0.9838709677419355,0.98391058754278,0.9838709677419355,0.9838620163292614,0.9978991596638654,0.333634614944458
Bag of Words (Unigrams),KNN,0.8655913978494624,0.8920497840995683,0.8655913978494624,0.8611791082561613,0.9285714285714286,0.0070073604583740234
TF-IDF (Unigrams),Naive Bayes,1.0,1.0,1.0,1.0,1.0,0.0025060176849365234
TF-IDF (Unigrams),Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.031055450439453125
TF-IDF (Unigrams),SVM (Linear),1.0,1.0,1.0,1.0,1.0,0.4796123504638672
TF-IDF (Unigrams),Random Forest,0.978494623655914,0.9786736670096229,0.978494623655914,0.9784694682268065,0.9983076563958917,0.49495410919189453
TF-IDF (Unigrams),KNN,0.9946236559139785,0.9946758534293767,0.9946236559139785,0.9946206721097537,0.9999416433239963,0.001009225845336914
TF-IDF (Unigrams + Bigrams),Naive Bayes,1.0,1.0,1.0,1.0,1.0,0.002001523971557617
TF-IDF (Unigrams + Bigrams),Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.020005226135253906
TF-IDF (Unigrams + Bigrams),SVM (Linear),1.0,1.0,1.0,1.0,1.0,0.7110013961791992
TF-IDF (Unigrams + Bigrams),Random Forest,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.9983660130718954,0.6335768699645996
TF-IDF (Unigrams + Bigrams),KNN,1.0,1.0,1.0,1.0,1.0,0.00530242919921875
TF-IDF (Unigrams + Bigrams + Trigrams),Naive Bayes,1.0,1.0,1.0,1.0,1.0,0.0030024051666259766
TF-IDF (Unigrams + Bigrams + Trigrams),Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.013912200927734375
TF-IDF (Unigrams + Bigrams + Trigrams),SVM (Linear),1.0,1.0,1.0,1.0,1.0,0.7910752296447754
TF-IDF (Unigrams + Bigrams + Trigrams),Random Forest,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.9985410830999066,0.5581583976745605
TF-IDF (Unigrams + Bigrams + Trigrams),KNN,0.9946236559139785,0.9946758534293767,0.9946236559139785,0.9946206721097537,0.9999416433239963,0.0009894371032714844
